ShaftSize,ShaftUnits,SternSize,SternUnits,Priority,FSA_Template,Hose_Code,Hose_Orientation,Clamp1_Code,Clamp1_Qty,Clamp2_Code,Clamp2_Qty,Is_US_Recommended,Stretch_Type,Stretch_Backend_in,Stretch_Stern_in,Comments
2.25,in,3.5,in,5,FSA-2250-3250-0,HOSE 3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,3.5,in,5,FSA-2250-3250-1,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,3.5,in,5,FSA-2250-3250-1,HOSE 3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,3.5,in,6,FSA-2250-3500-0,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch both ends,0.25,0.25,Rule Engine
2.25,in,3.75,in,3,FSA-2250-3750-0,HS 3500-3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.2400000000000002,0.0,Rule Engine
2.25,in,3.75,in,3,FSA-2250-3750-1,HS 3500-3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.2400000000000002,0.0,Rule Engine
2.25,in,3.75,in,4,FSA-2250-3750-0,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,3.75,in,4,FSA-2250-3750-1,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,3.75,in,4,FSA-2250-4000-0,HOSE 3750,A->Backend,CLAMP-4250,2,CLAMP-4000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.25,in,4.0,in,2,FSA-2250-5000-1,HS 4000-5000,B->Backend,CLAMP-5000,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.0,in,3,FSA-2250-3750-0,HS 3500-4000,A->Backend,CLAMP-4000,2,CLAMP-4250,2,False,Stretch backend,0.2400000000000002,0.0,Rule Engine
2.25,in,4.0,in,3,FSA-2250-3750-1,HS 3500-4000,A->Backend,CLAMP-4000,2,CLAMP-4250,2,False,Stretch backend,0.2400000000000002,0.0,Rule Engine
2.25,in,4.0,in,4,FSA-2250-4000-0,HOSE 4000,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.0,in,4,FSA-2250-4000-1,HOSE 4000,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.25,in,2,FSA-2250-4000-0,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.25,in,2,FSA-2250-4000-1,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.25,in,2,FSA-2250-4000-8,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.25,in,5,FSA-2250-4000-0,HOSE 4000,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,4.25,in,5,FSA-2250-4000-1,HOSE 4000,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,4.5,in,2,FSA-2250-4000-0,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.5,in,2,FSA-2250-4000-1,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.5,in,2,FSA-2250-5000-1,HS 4500-5000,B->Backend,CLAMP-5000,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.5,in,2,FSA-2250-4000-8,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,4.5,in,5,FSA-2250-4000-0,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.25,in,5.0,in,2,FSA-2250-4000-0,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,5.0,in,2,FSA-2250-4000-1,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,5.0,in,2,FSA-2250-4000-8,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,5.0,in,4,FSA-2250-5000-1,HOSE 5000,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.25,in,5.0,in,6,FSA-2250-5000-1,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,Stretch both ends,0.25,0.25,Rule Engine
2.25,in,5.5,in,2,FSA-2250-5000-1,HS 5000-5500,A->Backend,CLAMP-5000,2,CLAMP-5500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.25,in,2,FSA-2500-3250-0,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.25,in,2,FSA-2500-3250-1,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.25,in,3,FSA-2500-3375-0,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch backend,0.125,0.0,Rule Engine
2.5,in,3.25,in,3,FSA-2500-3500-0,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,3.25,in,3,FSA-2500-3500-1,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,3.5,in,5,FSA-2500-3250-0,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,3.5,in,5,FSA-2500-3250-0,HOSE 3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,3.5,in,5,FSA-2500-3250-1,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,3.5,in,5,FSA-2500-3250-1,HOSE 3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,3.5,in,5,FSA-2500-3375-0,HOSE 3375,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch stern,0.0,0.125,Rule Engine
2.5,in,3.75,in,3,FSA-2500-3750-0,HS 3500-3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.2400000000000002,0.0,Rule Engine
2.5,in,3.75,in,3,FSA-2500-3750-1,HS 3500-3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.2400000000000002,0.0,Rule Engine
2.5,in,3.75,in,4,FSA-2500-3750-0,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.75,in,4,FSA-2500-3750-1,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,3.75,in,4,FSA-2500-4000-0,HOSE 3750,A->Backend,CLAMP-4250,2,CLAMP-4000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,4.0,in,2,FSA-2500-4250-1,HS 4000-4250,B->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.0,in,2,FSA-2500-4500-0,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.0,in,2,FSA-2500-4500-1,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.0,in,2,FSA-2500-5000-1,HS 4000-5000,B->Backend,CLAMP-5000,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.0,in,2,FSA-2500-4250-4,HS 4000-4250,B->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.25,in,2,FSA-2500-4000-0,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.25,in,2,FSA-2500-4000-1,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.25,in,2,FSA-2500-4000-2,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.25,in,2,FSA-2500-4000-3,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.25,in,2,FSA-2500-4000-4,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.5,in,2,FSA-2500-4000-0,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.5,in,2,FSA-2500-4000-1,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.5,in,2,FSA-2500-4000-2,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.5,in,2,FSA-2500-4000-3,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.5,in,2,FSA-2500-4500-0,HS 4500-4500,A->Backend,CLAMP-4500,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.75,in,4,FSA-2500-4750-1,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,4.75,in,4,FSA-2500-5000-1,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.5,in,4.75,in,5,FSA-2500-4000-0,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,4.75,in,5,FSA-2500-4000-1,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,4.75,in,5,FSA-2500-4000-2,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.5,in,5.0,in,2,FSA-2500-4000-0,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,5.0,in,2,FSA-2500-4000-1,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,5.0,in,2,FSA-2500-4000-2,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,5.0,in,2,FSA-2500-4000-3,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,5.0,in,2,FSA-2500-4500-0,HS 4500-5000,A->Backend,CLAMP-4500,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,5.5,in,2,FSA-2500-5000-1,HS 5000-5500,A->Backend,CLAMP-5000,2,CLAMP-5500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,6.0,in,2,FSA-2500-5000-1,HS 5000-6000,A->Backend,CLAMP-5000,2,CLAMP-6000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.5,in,6.0,in,4,FSA-2500-6000-0,HOSE 6000,A->Backend,CLAMP-6000,2,CLAMP-6000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.625,in,4.5,in,2,FSA-2625-4000-1,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.625,in,4.5,in,5,FSA-2625-4000-1,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.75,in,3.5,in,6,FSA-2750-3500-0,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch both ends,0.25,0.25,Rule Engine
2.75,in,3.5,in,6,FSA-2750-3500-0,HOSE 3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch both ends,0.25,0.25,Rule Engine
2.75,in,3.5,in,6,FSA-2750-3500-0,HOSE 3375,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch both ends,0.125,0.125,Rule Engine
2.75,in,3.5,in,6,FSA-2750-3500-1,HS 3250-3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch both ends,0.25,0.25,Rule Engine
2.75,in,3.5,in,6,FSA-2750-3500-1,HOSE 3250,A->Backend,CLAMP-3500,2,CLAMP-3500,2,False,Stretch both ends,0.25,0.25,Rule Engine
2.75,in,3.75,in,3,FSA-2750-3750-0,HS 3500-3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.2400000000000002,0.0,Rule Engine
2.75,in,3.75,in,3,FSA-2750-3750-1,HS 3500-3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,Stretch backend,0.2400000000000002,0.0,Rule Engine
2.75,in,3.75,in,4,FSA-2750-3750-0,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,3.75,in,4,FSA-2750-3750-1,HOSE 3750,A->Backend,CLAMP-4000,2,CLAMP-4000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,3.75,in,4,FSA-2750-4000-0,HOSE 3750,A->Backend,CLAMP-4250,2,CLAMP-4000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.75,in,4.0,in,2,FSA-2750-4250-1,HS 4000-4250,B->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.0,in,2,FSA-2750-4500-0,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.0,in,2,FSA-2750-4500-1,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.0,in,2,FSA-2750-5000-0,HS 4000-5000,B->Backend,CLAMP-5000,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.0,in,2,FSA-2750-5000-1,HS 4000-5000,B->Backend,CLAMP-5000,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.25,in,2,FSA-2750-4000-0,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.25,in,2,FSA-2750-4000-1,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.25,in,2,FSA-2750-4000-2,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.25,in,2,FSA-2750-4000-41,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.25,in,2,FSA-2750-4000-5,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.5,in,2,FSA-2750-4000-0,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.5,in,2,FSA-2750-4000-1,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.5,in,2,FSA-2750-4000-2,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.5,in,2,FSA-2750-4500-0,HS 4500-4500,A->Backend,CLAMP-4500,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.5,in,2,FSA-2750-4500-1,HS 4500-4500,A->Backend,CLAMP-4500,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.75,in,4,FSA-2750-5000-0,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.75,in,4.75,in,4,FSA-2750-5000-1,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.75,in,4.75,in,4,FSA-2750-4750-1,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,4.75,in,4,FSA-2750-5000-5,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,Stretch backend,0.25,0.0,Rule Engine
2.75,in,4.75,in,5,FSA-2750-4000-0,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,Stretch stern,0.0,0.25,Rule Engine
2.75,in,5.0,in,2,FSA-2750-4000-0,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,5.0,in,2,FSA-2750-4000-1,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,5.0,in,2,FSA-2750-4000-2,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,5.0,in,2,FSA-2750-4500-0,HS 4500-5000,A->Backend,CLAMP-4500,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,5.0,in,2,FSA-2750-4500-1,HS 4500-5000,A->Backend,CLAMP-4500,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,5.25,in,5,FSA-2750-4000-0,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.75,in,5.25,in,5,FSA-2750-4000-1,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.75,in,5.25,in,5,FSA-2750-4000-2,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.75,in,5.25,in,5,FSA-2750-4500-0,HS 4500-5000,A->Backend,CLAMP-4500,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.75,in,5.25,in,5,FSA-2750-4500-1,HS 4500-5000,A->Backend,CLAMP-4500,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
2.75,in,5.5,in,2,FSA-2750-5000-0,HS 5000-5500,A->Backend,CLAMP-5000,2,CLAMP-5500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,5.5,in,2,FSA-2750-5000-1,HS 5000-5500,A->Backend,CLAMP-5000,2,CLAMP-5500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,5.5,in,2,FSA-2750-5000-5,HS 5000-5500,A->Backend,CLAMP-5000,2,CLAMP-5500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
2.75,in,5.5,in,3,FSA-2750-5250-1,HS 5000-5500,A->Backend,CLAMP-5500,2,CLAMP-5500,2,False,Stretch backend,0.25,0.0,Rule Engine
3.0,in,4.0,in,2,FSA-3000-4500-0,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.0,in,2,FSA-3000-4500-1,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.0,in,2,FSA-3000-4500-2,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.0,in,2,FSA-3000-4500-3,HS 4000-4500,B->Backend,CLAMP-4500,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.0,in,2,FSA-3000-5000-0,HS 4000-5000,B->Backend,CLAMP-5000,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.25,in,2,FSA-3000-4000-0,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.25,in,2,FSA-3000-4000-1,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.25,in,2,FSA-3000-4000-2,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.25,in,2,FSA-3000-4000-3,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.25,in,2,FSA-3000-4000-41,HS 4000-4250,A->Backend,CLAMP-4250,2,CLAMP-4250,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.5,in,2,FSA-3000-4000-0,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.5,in,2,FSA-3000-4000-1,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.5,in,2,FSA-3000-4000-2,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.5,in,2,FSA-3000-4000-3,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.5,in,2,FSA-3000-4500-0,HS 4500-4500,A->Backend,CLAMP-4500,2,CLAMP-4500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.75,in,4,FSA-3000-4750-0,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.75,in,4,FSA-3000-4750-1,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,4.75,in,4,FSA-3000-5000-0,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,Stretch backend,0.25,0.0,Rule Engine
3.0,in,4.75,in,4,FSA-3000-5000-1,HOSE 4750,A->Backend,CLAMP-5000,2,CLAMP-5000,2,False,Stretch backend,0.25,0.0,Rule Engine
3.0,in,4.75,in,5,FSA-3000-4000-0,HS 4000-4500,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,Stretch stern,0.0,0.25,Rule Engine
3.0,in,5.0,in,2,FSA-3000-4000-0,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,5.0,in,2,FSA-3000-4000-1,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,5.0,in,2,FSA-3000-4000-2,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,5.0,in,2,FSA-3000-4000-3,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,5.0,in,2,FSA-3000-4500-0,HS 4500-5000,A->Backend,CLAMP-4500,2,CLAMP-5000,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,5.25,in,5,FSA-3000-4000-0,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
3.0,in,5.25,in,5,FSA-3000-4000-1,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
3.0,in,5.25,in,5,FSA-3000-4000-2,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
3.0,in,5.25,in,5,FSA-3000-4000-3,HS 4000-5000,A->Backend,CLAMP-4250,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
3.0,in,5.25,in,5,FSA-3000-4500-0,HS 4500-5000,A->Backend,CLAMP-4500,2,CLAMP-5500,2,False,Stretch stern,0.0,0.25,Rule Engine
3.0,in,5.5,in,2,FSA-3000-5000-0,HS 5000-5500,A->Backend,CLAMP-5000,2,CLAMP-5500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,5.5,in,2,FSA-3000-5000-1,HS 5000-5500,A->Backend,CLAMP-5000,2,CLAMP-5500,2,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,5.5,in,2,FSA-3000-6500-1,HS 5500-6500,B->Backend,CLAMP-6500,3,CLAMP-5500,3,False,No stretch (tolerance ok),0.0,0.0,Rule Engine
3.0,in,5.5,in,3,FSA-3000-5250-1,HS 5000-5500,A->Backend,CLAMP-5500,2,CLAMP-5500,2,False,Stretch backend,0.25,0.0,Rule Engine
